State,Year,Production,Price
ARIZONA,1990,1.575,2.79
ARIZONA,1991,2.4000000000000004,2.6
ARIZONA,1992,2.205,2.6
ARIZONA,1993,2.9,2.6
ARIZONA,1994,3.135,2.85
ARIZONA,1995,1.89,2.95
ARIZONA,1996,5.67,3.55
ARIZONA,1997,6.834,2.9
ARIZONA,1998,6.16,2.45
ARIZONA,1999,7.0680000000000005,2.4
ARIZONA,2000,4.104,2.42
ARIZONA,2001,4.3999999999999995,2.4
ARIZONA,2002,4.4,2.55
ARIZONA,2003,3.54,2.84
ARIZONA,2004,4.18,2.8
ARIZONA,2005,3.0,2.75
ARIZONA,2006,2.53,3.2
ARIZONA,2007,3.41,4.0
ARIZONA,2008,4.8,4.8
ARIZONA,2009,5.175,3.74
ARIZONA,2010,5.5,3.82
ARIZONA,2011,8.0,4.86
ARIZONA,2012,4.935,5.78
ARIZONA,2013,8.142,5.13
ARIZONA,2014,4.0,4.44
ARIZONA,2015,1.92,4.15
ARIZONA,2016,2.048,4.06
ARIZONA,2017,2.227,3.91
CALIFORNIA,1990,13.34,2.62
CALIFORNIA,1991,9.44,2.54
CALIFORNIA,1992,11.78,2.57
CALIFORNIA,1993,13.0,2.52
CALIFORNIA,1994,14.299999999999999,2.67
CALIFORNIA,1995,14.0,3.28
CALIFORNIA,1996,11.4,3.69
CALIFORNIA,1997,8.549999999999999,2.75
CALIFORNIA,1998,7.5,2.33
CALIFORNIA,1999,6.3999999999999995,2.34
CALIFORNIA,2000,6.46,2.37
CALIFORNIA,2001,5.83,2.36
CALIFORNIA,2002,5.325,2.49
CALIFORNIA,2003,3.712,2.77
CALIFORNIA,2004,4.5,2.65
CALIFORNIA,2005,3.7800000000000002,2.63
CALIFORNIA,2006,3.5749999999999997,2.48
CALIFORNIA,2007,2.56,4.52
CALIFORNIA,2008,3.3,6.15
CALIFORNIA,2009,2.9699999999999998,3.49
CALIFORNIA,2010,4.35,3.92
CALIFORNIA,2011,4.725,5.74
CALIFORNIA,2012,4.4,5.97
CALIFORNIA,2013,3.15,5.81
CALIFORNIA,2014,1.825,5.24
CALIFORNIA,2015,1.595,4.85
CALIFORNIA,2016,4.5,4.3
CALIFORNIA,2017,1.4,4.82
COLORADO,1990,12.0,3.06
COLORADO,1991,10.4,3.14
COLORADO,1992,9.72,2.57
COLORADO,1993,7.6499999999999995,2.93
COLORADO,1994,7.47,2.64
COLORADO,1995,10.0,2.95
COLORADO,1996,9.568,3.05
COLORADO,1997,9.612,2.98
COLORADO,1998,9.43,2.84
COLORADO,1999,9.03,2.54
COLORADO,2000,12.075,3.08
COLORADO,2001,8.56,2.73
COLORADO,2002,7.4879999999999995,3.04
COLORADO,2003,8.938,3.05
COLORADO,2004,9.086,2.82
COLORADO,2005,7.67,2.98
COLORADO,2006,4.83,2.48
COLORADO,2007,6.96,3.51
COLORADO,2008,8.64,5.18
COLORADO,2009,10.395,5.27
COLORADO,2010,8.379,3.79
COLORADO,2011,7.938000000000001,5.23
COLORADO,2012,6.71,6.72
COLORADO,2013,7.714,5.73
COLORADO,2014,6.696,5.78
COLORADO,2015,8.19,6.2
COLORADO,2016,9.675,5.31
COLORADO,2017,8.975999999999999,4.6
DELAWARE,1990,1.89,1.89
DELAWARE,1991,2.516,1.55
DELAWARE,1992,2.59,1.8
DELAWARE,1993,2.275,1.6
DELAWARE,1994,1.8900000000000001,1.7
DELAWARE,1995,2.96,1.7
DELAWARE,1996,1.564,2.98
DELAWARE,1997,3.115,1.95
DELAWARE,1998,1.7999999999999998,1.27
DELAWARE,1999,2.184,1.35
DELAWARE,2000,2.2680000000000002,1.3
DELAWARE,2001,2.002,1.25
DELAWARE,2002,1.909,1.35
DELAWARE,2003,1.2389999999999999,1.6
DELAWARE,2004,2.08,1.78
DELAWARE,2005,2.187,1.33
DELAWARE,2006,1.92,1.54
DELAWARE,2007,1.482,2.49
DELAWARE,2008,1.76,4.18
IDAHO,1990,56.16,2.62
IDAHO,1991,59.25,2.77
IDAHO,1992,54.0,2.81
IDAHO,1993,60.0,2.64
IDAHO,1994,54.0,2.42
IDAHO,1995,60.800000000000004,3.05
IDAHO,1996,53.29,3.14
IDAHO,1997,59.25,2.82
IDAHO,1998,59.28,2.4
IDAHO,1999,53.82,2.6
IDAHO,2000,55.48,2.59
IDAHO,2001,50.25,2.75
IDAHO,2002,54.67,3.04
IDAHO,2003,47.52,3.15
IDAHO,2004,59.800000000000004,3.02
IDAHO,2005,52.199999999999996,3.01
IDAHO,2006,42.839999999999996,3.12
IDAHO,2007,42.9,4.02
IDAHO,2008,49.88,5.86
IDAHO,2009,48.45,5.17
IDAHO,2010,43.24,4.12
IDAHO,2011,46.5,5.63
IDAHO,2012,54.0,6.53
IDAHO,2013,57.66,6.42
IDAHO,2014,51.7,5.11
IDAHO,2015,56.260000000000005,5.86
IDAHO,2016,62.06,5.19
IDAHO,2017,48.449999999999996,4.75
KANSAS,1990,0.9239999999999999,1.69
KANSAS,1991,0.759,1.86
KANSAS,1992,0.92,1.53
KANSAS,1993,0.69,1.57
KANSAS,1994,0.532,1.99
KANSAS,1995,0.31500000000000006,2.11
KANSAS,1996,0.363,3.15
KANSAS,1997,0.336,2.69
KANSAS,1998,0.28,2.1
KANSAS,1999,0.585,1.6
KANSAS,2000,0.245,1.65
KANSAS,2001,0.4,1.7
KANSAS,2002,0.259,1.85
KANSAS,2003,0.456,2.15
KANSAS,2004,0.336,1.87
KANSAS,2005,0.588,1.97
KANSAS,2006,0.486,2.3
KANSAS,2007,0.676,3.65
KANSAS,2008,0.37,4.2
KENTUCKY,1990,1.02,2.19
KENTUCKY,1991,1.21,1.47
KENTUCKY,1992,0.9239999999999999,1.85
KENTUCKY,1993,1.072,1.64
KENTUCKY,1994,1.106,1.88
KENTUCKY,1995,1.05,2.01
KENTUCKY,1996,1.48,2.81
KENTUCKY,1997,0.49,2.06
KENTUCKY,1998,0.441,1.31
KENTUCKY,1999,0.64,1.32
KENTUCKY,2000,0.6,1.44
KENTUCKY,2001,0.68,1.43
KENTUCKY,2002,0.455,1.51
KENTUCKY,2003,0.6,1.8
KENTUCKY,2004,0.616,2.02
KENTUCKY,2005,0.747,1.94
KENTUCKY,2006,1.232,2.0
KENTUCKY,2007,0.111,2.85
KENTUCKY,2008,0.616,3.9
MARYLAND,1990,4.284,1.97
MARYLAND,1991,4.992,1.6
MARYLAND,1992,4.672,1.85
MARYLAND,1993,4.761,1.7
